RegistroDescricao,Reclamado,,,,,,,
Portabilidade realizada na linha incorreta,"Descrição do problema: Consumidor (a) informa que solicitou portabilidade da Tim para Claro, porém ao passar do prazo de portabilidade, verificou que seu número não foi portado, mas sim está com um número provisório. Já foi dado vários prazos para resolução porém nada foi resolvido._x000D_
O que o consumidor solicita como providências: Portabilidade com urgência._x000D_
Serviço Reclamado: pós-pago_x000D_
Demora na portabilidade,"Desde o dia 25/01/2021 venho pedindo portabilidade do meu número (31)98476-6969 para operadora VIVO. Já pedi mais de 5 vezes.  Registrei uma reclamação aqui na ANATEL,  fui atendido, e orientado a esperar ate segunda feira dia 22/02 as 20 para que fosse feita a portabilidade gerando o protocolo 06999298 que não resolvido entrei em contato pela ouvidoria da claro via internet, canal fornecido pela operadora e eles disseram que somente ANATEL resolveria (protocolo 07916051), então reabri a reclamação e no dia 23/02 a claro entra novamente em contato, falando que o meu pedido de portabilidade não foi realizado, pq estava ""dentro do prazo"". Eu questionei, uma vez que o ultimo pedido de portabilidade feito por mim, foi no dia 17 de fevereiro, e naquele presente momento, já era pra ter migrado. O atendente falou que o prazo de 3 dias uteis era um prazo para que se tudo ocorresse bem, e que tinha visto casos de portabilidades de durarem até 2 meses. Questionei quais eram as pendências que eu tinha com a operadora para que isso fosse resolvido. O atendente se recusou a prestar a informação e delegou a responsabilidade para outra operadora. Avisei que a outra operadora me envia todos os documentos relativos a ativação do meu plano, e me informa que a CLARO recusou. Eu alertei que no site da ANATEL consta 3 dias uteis, e que aquilo não existia. Ele me pediu para esperar ate o dia 28 de Fevereiro que seria resolvido.  (Protocolo 07217068).  Acessei a resposta da operadora colocada nesta plataforma, consta como se eu tivesse pedido o portabilidade no dia 25/02 que apesar de não sido feito por mim em lojas físicas da VIVO ou pela internet como as outras vezes mantenho a minha vontade de migrar para outra operadora, e por isso o prozo até o dia 28/02. Alerto que este número, é também utilizado por mim como profissional. O que quase gerou um perda de remuneração alta referente uma dobra de carga horária, e outros prejuízos imensuráveis como profissional autônomo, onde consta tal número de contato em cartões distribuídos. Exijo soluções rápidas. ",,,,,,,
Cobrança indevida,"Eu era assinante da Claro Celular pre pago desde agosto/2019. Em 01/02/2021 fiz portabilidade do meu numero (41) 9 9588 -2858 que estava com a Claro para a Operadora Vivo.  No dia 08/02/2021 meu numero passou a ser da operadora Vivo. Apesar do cancelamento com a Claro, a mesma me enviou uma fatura integral com vencimento 02/03/2021 acrescida de uma multa por cancelamento de contrato. Após mais de 12 meses de adesão, entendo que não deva ser cobrada nenhuma multa por mudança de operadora na solicitação de portabilidade e que o valor remanescente a ser cobrado deve ser proporcional ao período utilizado. O débito automatico devera ser cancelado, uma vez que nao uso mais os servicos da Claro. Não enconrtrei uma opção em assunto/problema para classificar esta reclamacao que é COBRANÇA INDEVIDA",,,,,,,
Demora na portabilidade,"Realizei a portabilidade da vivo para empresa claro/net no dia 23/01/2021, porém esperei pelo prazo de 5 dias de ativação do novo chip, que até o presente momento(01/03/2021)não aconteceu. Inúmeras vezes tentei resolver pelos números 1052 e 10621. Já abriram tres protocolos de atendimento para resolver(cada um com prazo de 5 dias). Estou sem meu telefone desde então. Dependo de meu numero para atendimento de meus clientes. Está prejudicando meu trabalho. Nos atendimentos da claro, não existe opções para resolver, os atendentes não sabem como proceder, apenas pedem para cancelar a portabilidade, o que nao quero fazer. Já foi detectado que o problema é o chip com defeito, mas não solucionam a troca que necessito.",,,,,,,
Problema de funcionamento após portabilidade,"No dia 22/02/2021 entrei em contato com o televendas da Claro solicitando a migração do meu plano Nextel para um plano controle 10gb+5gb por 59,99 no débito em conta e fatura digital, falei com Thais, autorização 204008907, protocolo 20211165404531.

No dia 23/02/2021 liguei para saber do andamento e a operadora Talita me disse que não havia sido feito e refez o pedido, autorização 204059664, protocolo 210236223412900.

No sábado, 27/02/2021 fiquei sem sinal na linha, e estou desde então.

Eu ligo no atendimento Nextel e a ura me informa que preciso falar pelo 1052, pois sou cliente claro.

Ligo no 1052 da claro e a gravação informa que como sou cliente claro nxt o atendimento é com eles.

Não consigo falar com ninguém sobre o problema.

Liguei 3x posteriores no atendimento televendas para tentar solucionar o problema, mas ninguém resolve.

Não consigo nem mesmo receber uma ligação depois dessa reclamação, pois, estou sem linha.

Caso precisem falar comigo, precisa ser pelo numero da minha esposa, 11 94523.8817.

Hoje, segunda, 01/03/2021 não consegui nem mesmo trabalhar, pois estou home office e para logar no sistema, preciso informar o sms recebido, mas pela falta de sinal, não recebi.
Vejam o tamanho do transtorno que vocês estão me causando por uma simples migração.

 Vocês resolvem o problema ou preciso ajuizar um processo por danos morais no pequenas causas?",,,,,,,
Demora na portabilidade,"Prezados,_x000D_
_x000D_
Solicitei a portabilidade do número (11) 9 5285-2544 para a operadora Claro no dia 05/02/2021. Recebi o chip no dia 08/02/2021._x000D_
_x000D_
A portabilidade estava programada para dia 18/02 porém, por um problema de conexão (sem sinal) do chip recém-recebido, a portabilidade não foi efetuada. Em contato com a operadora, disseram que remarcaram a janela da portabilidade para o dia 24/02. Porém, também não ocorreu pelo mesmo motivo. O chip começou a ter sinal somente no dia 25/02._x000D_
_x000D_
Entrei em contato com a operadora diversas vezes desde então, porém sem sucesso. Extrema dificuldade em ser encaminhado para uma pessoa que de fato pudesse entender o meu problema e em algumas chamadas, fiquei por mais de 45 minutos, ""pulando"" de setor em setor e em todas as vezes que fui transferido, tive que explicar novamente toda a minha situação e toda a timeline dos eventos, ridículo!_x000D_
_x000D_
Desde então, conversei com pelo menos 20 atendentes em mais de 10 tentativas de ligações.. Tenho diversos protocolos de atendimento (em algumas tentativas, foi gerado mais de um protocolo). Em várias dessas tentativas, precisei entrar em contato através do número de celular da minha esposa ou discar um número aleatório para que eu pudesse ser encaminhado para um determinado setor._x000D_
_x000D_
Em minha última ligação (27/02), foi registrada uma reclamação em caráter de urgência (prazo de 48h para resposta) para que a minha portabilidade fosse novamente remarcada, o que ainda não ocorreu._x000D_
_x000D_
Não sei mais o que fazer. Faz um mês que estou pedindo a portabilidade, diversas tentativas frustradas e para piorar, não pude cancelar meu antigo plano (Nextel). Ou seja, na próxima data de cobrança, terei que fazer dois pagamentos de celular, para ambas as operadoras.. O que é ainda mais ridículo, é que a Claro possui os direitos da Nextel! Em minha inocência, imaginei que a portabilidade fosse algo relativamente simples. Me decepcionei..._x000D_
_x000D_
Enfim, quero somente que o meu pedido de portabilidade seja concluído para que eu possa me desfazer da operadora Nextel e seguir com a Claro, o que já começamos com o pé esquerdo!_x000D_
_x000D_
Ficarei extremamente grato se me ajudarem a resolver essa pendência!_x000D_
_x000D_
Atenciosamente,_x000D_
Daniel Neves",,,,,,,
,"Boa tarde!_x000D_
Sou cliente Claro fixo + internet e a oi portou meu número indevido, sem fazer instalação._x000D_
Liguei e cancelei com a oi e pedi para a Claro recuperar  meu número 5135951936 novamente, pois continuo pagando os serviços da Claro e eles não estão concluindo a portabilidade. Isso já faz mais de 3 semanas. tenho mais de 10 protocolos. _x000D_
Quero que eles façam a portabilidade novamente, pois continuo sendo cliente e pagando o pacote sem a funcionalidade da linha.",,,,,,,
CPF divergente,"Descrição do problema: Consumidor (a) informa que solicitou a portabilidade, porém a prestadora informa que a linha não consta em seu cpf e não consegue concluir a portabilidade. Referente ao telefone fixo foi interrompido o processo de portabilidade e a linha parou de funcionar e não foi disponibilizado uma nova linha_x000D_
O que o consumidor solicita como providências: Que seja identificado o erro, para realizar a portabilidade e a regularização do telefone fixo._x000D_
Telefone associado (quando for linha telefônica):12974106335 1236311104._x000D_
Serviço reclamado: Móvel e telefone fixo_x000D_
Protocolo relacionado (protocolo Anatel):_x000D_
Protocolo da prestadora reclamada:",,,,,,,
,"Descrição do problema: Consumidor(a) informa que possui uma linha pós pago onde há esta sem conseguir utilizar a sua linha pois a operadora fez a portabilidade da linha da TIM sem a sua solicitação , foi em uma loja física mas não conseguiu resolver ._x000D_
O que o(a) consumidor(a) solicita como providências: Retorno para a operadora anterior sem nenhuma cobrança com urgência_x000D_
Serviço Reclamado: celular pós pago _x000D_
Telefone associado ao problema(quando for linha telefônica):(11) 987478547_x000D_
Protocolo da prestadora reclamada: não possui",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que no dia 22/02 fez a portabilidade das 3 linhas da Vivo para a Claro, foi dito que no dia 23/02 as 23:00 horas as linhas seriam portadas. No dia seguinte constatou que o telefone fixo estava mudo, ao entrar em contato com a Vivo foi informado que a linha foi cancelada, o que consumidora nega, pois o pedido da portabilidade foi apenas das linhas móveis. As linhas a serem portadas eram: 81999757514/8199291313/8199288908._x000D_
Foi á loja da Claro e fez o cancelamento da portabilidade da linha fixa. A linha já encontra na Vivo mas a operadora ainda não reativou o serviço._x000D_
_x000D_
Solicita como providências: Reativação da linha com urgência e cancelamento da cobrança da mula fidelidade caso haja, pois não pediu a portabilidade da linha._x000D_
Número da linha: 8133265609_x000D_
Serviço: Telefone fixo._x000D_
Gerente: Roseane Rosa.",,,,,,,
,Tentei realizar a portabilidade da linha fixa atualmente na operadora Oi número (61)3368-6243 cadastrada em meu cpf sem sucesso. Na primeira tentativa a linha fixa na operadora Oi não estava em meu CPF mas nas tentativas subsequentes a linha já estava em meu CPF e mesmo assim parece que a Claro não está tentando fazer novamente a tentativa de portabilidade. A última tentantiva que verifiquei na tela de um funcinoário ,,,,,,,
Portabilidade realizada na linha incorreta,"         Este signatário solicitou uma portabilidade para operadora claro para o número (21) 99819-5120, recebi o bilhete 89757771, no dia 22/02/2021 (segunda-feira), informando que a referida portabilidade seria concluída no dia 25/02/2021 às 12h, me enviaram o protocolo 2021167057854.  Realizei a compra do plano claro flex 8GB, no dia 22/02/2021 (segunda-feira) e notei que o referido plano está no número do chipe da claro que comprei apenas para efetuar a portabilidade, encaminhei uma reclamação no dia 27/02/2021 (Sábado) com o protocolo 2021180288700. Informo-vos que até o presente momento o referido problema não foi solucionado.",,,,,,,
,"Boa tarde, tudo bem? Quero trazer meu número para Claro, porém quando solicito via SMS diz que vai chegar o código na outra operadora,  e nunca chega esse Código, cheguei até entrar em contato com a outra operadora e me informaram que esta tudo certo com minha linha, pois recebo todos SMS, o único que não chega é o de confirmação da Claro, cheguei ir até uma loja da Claro para solicitar, onde a atendente me informou que eles só fazer portabilidade em planos controle, entrei em contato com a Claro onde iriam ver meu caso e me dar uma resposta, porém ninguém entrou em contato comigo. PRECISO DE UMA AJUDA... o número que desejo trazer para Claro é o 49999414290, e o provisória é 49988803335",,,,,,,
Demora na portabilidade,"Em sequência ao protocolo 202102098895380 que foi finalizado com a promessa que minha portabilidade ocorreria no dia 24/02. Informo que estou sendo cobrada pela linha que ainda não me foi disponibilizada. Não consigo contato com a ouvidoria da claro, pois ela não reconhece o número de protocolo que a operadora me passou e a ligação não passa da mensagem eletrônica. 
",,,,,,,
,"Descrição do problema: Consumidor (a) reclama que sua linha da TIM foi portada para claro/net indevidamente e inclusa em um plano._x000D_
O que o consumidor (a) solicita como providências: Cancelamento da portabilidade para retornar para TIM e do plano indevido._x000D_
Serviço reclamado: Pré-pago._x000D_
Telefone associado ao problema: 31 993614455",,,,,,,
Demora na portabilidade,"Descrição do problema: Sra. Sara em nome da empresa,  reclama que pediu portabilidade para a Tim, mas a Nextel a se recusa a disponibilizar a linha._x000D_
_x000D_
Solicita como providências: Libração da linha para conclusão da portabilidade._x000D_
_x000D_
Serviço Reclamado: Linha Movel._x000D_
Telefone associado ao problema:  11947742397 e 11947171978_x000D_
Protocolo da prestadora reclamada: Nao consegue falar com atendente _x000D_
Empresa Doadora:  Nextel   Receptora: Tim_x000D_
Nome do responsável legal pela empresa: Waldemar Oliveira_x000D_
CPF: 074.235.128-93_x000D_
_x000D_
",,,,,,,
,"Por meio da reclamação do protocolo  202010147006003 em que havia reclamado do valor muito caro das mensalidade do pacote, foi me dito que o valor dos telefones 11 989198001 e o numero 11 989488668 iria passar do valor de 320,00 reais para 130,00 reais. Ocorre também que por conta dos valores muito muito altos fiz vários acordos, retirei um ponto de tv para tentar baratear os valores do pacote e para cada acordo apesar do contrato ser antigo, sempre alegavam ter fidelidade. O que está errado. Ocorre que no dia 28/02/2021 instalei em casa na rua warner 3 cep 09608-040 sbcampo o pacote da vivo, ao qual está bem superior. Por meio de sms a claro informa que o pedido de portabilidade esta sujeito a a multas por conta da migração das linhas móveis para a empresa VIVO. Pois bem como até hoje o valor das mensalidade da linha móvel  por 320 reais não estou conseguindo pagar como já mencionei na época e pelas várias reclamações na claro e os vários acordos que fiz . Portanto solicito a portabilidade das linhas móveis do cpf 180.356.498-92 para a empresa vivo e o cancelamento dos pacotes tv telefone fixo, enfim o cancelamento de todos os serviços da claro. Além do que não tenho mais condições financeiras de pagar esses valores. a fatura do mês de fevereiro de 2021 está no valor de 650 reais, muito fora da minha realidade financeira .",,,,,,,
,"Descrição do problema: Consumidor (a) reclama que em 26/02 solicitou portabilidade, em 27/02 solicitou cancelamento, foi informado que deveria comparecer em loja física para cancelar linha provisória, em loja foi informado que deveria ser feita via central de atendimento devido multa rescisória, e problema não é resolvido. _x000D_
O que o consumidor solicita como providências: cancelamento de portabilidade e linha provisória sem cobrança _x000D_
Serviço reclamado: móvel pós-pago_x000D_
Telefone associado ao problema: 21991856387_x000D_
Ciente da importância de protocolo.",,,,,,,
,"Boa tarde,estou tentando pedir a portabilidade do número 85-987897704 que atualmente está na Claro,para a operadora Oi. A claro não liberou a portabilidade. Quero a solução com urgência",,,,,,,
Problema com chip recebido,"Descrição do problema: Consumidor(a) reclama que solicitou a portabilidade e ainda não ocorreu, recebeu o chip provisório e mesmo assim ainda não foi finalizada a portabilidade gerando cobrança._x000D_
Solicita como providências: Deseja a conclusão da portabilidade  e  a disponibilidade do serviço, deseja também contestar a cobrança gerada sem o serviço funcionar e ser concluído._x000D_
Serviço Reclamado: pós pago_x000D_
Telefone associado ao problema: 27988013758_x000D_
Protocolo da prestadora: 2021185827969_x000D_
Protocolo Relacionado Anatel:_x000D_
",,,,,,,
